ateneo,ateneo,numcollaborazioni 
BOLOGNA,MODENA e REGGIO EMILIA,168
NAPOLI Federico II,Seconda Univ. NAPOLI,159
BOLOGNA,FERRARA,148
BOLOGNA,PADOVA,144
Libera UniversitÃ  di BOLZANO,ROMA La Sapienza,112
Politecnico di BARI,TUSCIA,99
MODENA e REGGIO EMILIA,PARMA,97
PALERMO,UKE - UniversitÃ  Kore di ENNA,90
MOLISE,SALERNO,87
MILANO-BICOCCA,Politecnico di MILANO,85
MILANO,Politecnico di MILANO,80
NAPOLI Federico II,SANNIO di BENEVENTO,76
NAPOLI Federico II,SALERNO,76
Politecnico di MILANO,TRENTO,76
SANNIO di BENEVENTO,Seconda Univ. NAPOLI,74
Politecnico di MILANO,VERONA,70
SALERNO,SANNIO di BENEVENTO,70
CASSINO e LAZIO MERIDIONALE,SALERNO,66
BERGAMO,Politecnico di MILANO,65
PERUGIA,ROMA TRE,65
CATANIA,UKE - UniversitÃ  Kore di ENNA,64
GENOVA,PADOVA,62
Mediterranea di REGGIO CALABRIA,MESSINA,56
ROMA La Sapienza,ROMA Tor Vergata,53
NAPOLI Federico II,Parthenope di NAPOLI,53
CATANIA,MESSINA,50
PISA,Univ. Telematica E-CAMPUS,50
BOLOGNA,Libera UniversitÃ  di BOLZANO,50
Politecnico di TORINO,VERONA,48
FIRENZE,MODENA e REGGIO EMILIA,48
INSUBRIA,Politecnico di MILANO,47
MOLISE,SANNIO di BENEVENTO,46
PISA,SANNIO di BENEVENTO,44
ROMA Tor Vergata,Univ. Telematica GUGLIELMO MARCONI,44
LIUC - CASTELLANZA,Politecnico di MILANO,43
della CALABRIA,Mediterranea di REGGIO CALABRIA,43
PADOVA,ROMA La Sapienza,43
Scuola Superiore Sant'Anna,TRENTO,42
SANNIO di BENEVENTO,Univ. Telematica GIUSTINO FORTUNATO,41
CATANZARO,della CALABRIA,40
GENOVA,SASSARI,40
ROMA Tor Vergata,TRENTO,38
Cattolica del Sacro Cuore,PAVIA,33
FIRENZE,SIENA,33
SANNIO di BENEVENTO,Univ. Telematica UNITELMA SAPIENZA,33
Politecnico di TORINO,UDINE,33
Politecnico di MILANO,Politecnico di TORINO,32
PADOVA,PARMA,32
GENOVA,TRENTO,32
BRESCIA,Politecnico di MILANO,31
Univ. Telematica GIUSTINO FORTUNATO,Univ. Telematica UNITELMA SAPIENZA,30
GENOVA,PARMA,29
ROMA La Sapienza,ROMA TRE,27
MODENA e REGGIO EMILIA,ROMA Tor Vergata,27
della CALABRIA,TRIESTE,27
MILANO,Politecnico di BARI,26
Libera UniversitÃ  di BOLZANO,NAPOLI Federico II,26
PISA,SIENA,25
Politecnico di MILANO,ROMA La Sapienza,24
MODENA e REGGIO EMILIA,TRENTO,24
PADOVA,UDINE,23
MILANO-BICOCCA,ROMA La Sapienza,23
FERRARA,PADOVA,23
SASSARI,VERONA,23
ROMA La Sapienza,TUSCIA,20
L'AQUILA,ROMA La Sapienza,19
BASILICATA,ROMA TRE,19
Politecnico di MILANO,ROMA TRE,19
MODENA e REGGIO EMILIA,ROMA La Sapienza,18
MILANO,NAPOLI Federico II,18
PISA,TRIESTE,18
NAPOLI Federico II,Univ. Campus Bio-Medico di ROMA,16
Politecnico di TORINO,Urbino Carlo Bo,16
Politecnico di MILANO,SALENTO,16
FERRARA,Libera UniversitÃ  di BOLZANO,15
INSUBRIA,MILANO-BICOCCA,15
BARI,SANNIO di BENEVENTO,15
MILANO,SALERNO,15
Politecnico di TORINO,SANNIO di BENEVENTO,15
CASSINO e LAZIO MERIDIONALE,NAPOLI Federico II,15
BARI,Univ. Telematica UNITELMA SAPIENZA,14
UDINE,VERONA,14
L'AQUILA,Politecnico di MILANO,13
della CALABRIA,ROMA La Sapienza,12
BARI,Politecnico di BARI,12
PARMA,Politecnico di TORINO,11
BRESCIA,UDINE,11
GENOVA,NAPOLI Federico II,11
BOLOGNA,NAPOLI Federico II,11
Politecnica delle MARCHE,TRENTO,11
BOLOGNA,UDINE,11
GENOVA,TRIESTE,11
PADOVA,PALERMO,10
Politecnico di TORINO,SALERNO,10
BRESCIA,ROMA La Sapienza,10
Parthenope di NAPOLI,Seconda Univ. NAPOLI,10
FIRENZE,PISA,10
BERGAMO,Politecnico di TORINO,9
BOLOGNA,della CALABRIA,9
LIUC - CASTELLANZA,VERONA,9
SALERNO,Univ. Campus Bio-Medico di ROMA,9
della CALABRIA,SANNIO di BENEVENTO,9
PAVIA,Scuola Superiore Sant'Anna,9
PAVIA,TRENTO,9
BOLOGNA,Politecnico di MILANO,8
TRENTO,VERONA,8
PISA,Politecnico di MILANO,8
Politecnico di MILANO,SANNIO di BENEVENTO,7
BOLOGNA,PARMA,7
NAPOLI Federico II,TRENTO,7
BRESCIA,PADOVA,7
FERRARA,MODENA e REGGIO EMILIA,7
MODENA e REGGIO EMILIA,Politecnico di MILANO,7
GENOVA,PALERMO,7
BOLOGNA,ROMA La Sapienza,7
ROMA Tor Vergata,SANNIO di BENEVENTO,7
PARMA,SALERNO,7
FIRENZE,PARMA,6
NAPOLI Federico II,Politecnico di MILANO,6
Politecnico di MILANO,Univ. Campus Bio-Medico di ROMA,6
TUSCIA,UDINE,6
BARI,Politecnico di TORINO,6
NAPOLI Federico II,PAVIA,6
MILANO-BICOCCA,ROMA TRE,6
PALERMO,PISA,6
MESSINA,Seconda Univ. NAPOLI,6
