"ateneo","lon","lat"
"BOLOGNA",11.3426163,44.494887
"NAPOLI Federico II",14.1699033,40.8593919
"Libera UniversitÃ  di BOLZANO",11.6534297,46.7151241
"Politecnico di BARI",16.8843685,41.1080546
"MODENA e REGGIO EMILIA",10.9252269,44.647128
"PALERMO",13.3612671,38.1156879
"MOLISE",14.4936511,41.6308147
"MILANO-BICOCCA",9.2082569,45.5193521
"MILANO",9.1859243,45.4654219
"Politecnico di MILANO",9.1964401,45.4723514
"SANNIO di BENEVENTO",14.7185738,41.1997521
"SALERNO",14.7680961,40.6824408
"CASSINO e LAZIO MERIDIONALE",13.8270289,41.4735621
"BERGAMO",9.6772698,45.6982642
"PERUGIA",12.3908279,43.1107168
"CATANIA",15.0830304,37.5078772
"GENOVA",8.946256,44.4056499
"Mediterranea di REGGIO CALABRIA",15.6417567,38.1079312
"ROMA La Sapienza",12.4741176,41.898178
"PISA",10.4016888,43.7228386
"Politecnico di TORINO",7.66029,45.06448
"FIRENZE",11.2558136,43.7695604
"INSUBRIA",9.2204414,45.452393
"ROMA Tor Vergata",12.6200302,41.8484155
"LIUC - CASTELLANZA",8.8997403,45.610585
"della CALABRIA",16.3463791,39.3087714
"PADOVA",11.8767611,45.4064349
"Scuola Superiore Sant'Anna",10.4005972,43.7209661
"CATANZARO",16.5876516,38.9097919
"Cattolica del Sacro Cuore",9.1749898,45.4621325
"BRESCIA",10.2118019,45.5415526
"Univ. Telematica GIUSTINO FORTUNATO",14.7974033,41.120348
"FERRARA",11.619787,44.8381237
"SASSARI",8.5556826,40.7259269
"L'AQUILA",13.3995091,42.3498479
"BASILICATA",15.9699878,40.6430766
"BARI",16.8718715,41.1171432
"UDINE",13.2345794,46.0710668
"PARMA",10.3279036,44.801485
"Politecnica delle MARCHE",13.5105872,43.6171442
"Parthenope di NAPOLI",14.2681244,40.8517746
"PAVIA",9.1582069,45.1847248
"TRENTO",11.1217486,46.0747793
"TUSCIA",12.0904487,42.4274713
"MESSINA",15.5540152,38.1938137
"Ca' Foscari VENEZIA",12.3266566,45.4345493
"CAGLIARI",9.1216613,39.2238411
"Seconda Univ. NAPOLI",14.2181911,40.8664432
"CAMERINO",13.0683254,43.1356503
"SIENA",11.3307574,43.318809
"Stranieri di PERUGIA",12.3908279,43.1107168
"Univ. Telematica GUGLIELMO MARCONI",12.4624389,41.9073661
"ROMA TRE",12.4773732,41.8620534
"SALENTO",18.1650782,40.3495599
"Univ. Telematica Internazionale UNINETTUNO",12.4755283,41.8955925
"UKE - UniversitÃ  Kore di ENNA",14.2751913,37.5655551
"VERONA",10.9916215,45.4383842
"Univ. Telematica E-CAMPUS",9.1181806,45.6982225
"Univ. Telematica UNITELMA SAPIENZA",12.5149003,41.904946
"TRIESTE",13.7768182,45.6495264
"Univ. Campus Bio-Medico di ROMA",12.4963655,41.9027835
"Urbino Carlo Bo",12.636829,43.7232316
"Univ. Telematica PEGASO",14.2461277,40.8371617
